koi_score,koi_fpflag_nt,koi_model_snr,koi_fpflag_co,koi_fpflag_ss,koi_fpflag_ec,koi_duration_err2,koi_prad,koi_depth_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,koi_prad_err2,koi_insol,koi_time0bk_err2,koi_disposition
0.871,0.0,8.7,0.0,0.0,0.0,-0.407,0.55,-3.4,3.0,104.0,-115.0,-0.07,617.61,-0.011,CANDIDATE
1.0,0.0,71.0,0.0,0.0,0.0,-0.052,2.65,-46.3,1.0,73.0,-91.0,-0.29,5.82,-0.000923,CONFIRMED
1.0,0.0,221.1,0.0,0.0,0.0,-0.0306,5.31,-14.9,1.0,162.0,-180.0,-0.81,251.38,-0.000455,CONFIRMED
1.0,0.0,312.1,0.0,0.0,0.0,-0.0681,4.86,-11.5,1.0,164.0,-180.0,-0.37,113.64,-0.000507,CONFIRMED
1.0,0.0,37.1,0.0,0.0,0.0,-0.0551,1.93,-35.3,1.0,81.0,-81.0,-0.12,5.66,-0.00182,CONFIRMED
1.0,0.0,30.3,0.0,0.0,0.0,-0.0393,1.91,-39.2,2.0,81.0,-81.0,-0.12,13.43,-0.00119,CONFIRMED
1.0,0.0,35.8,0.0,0.0,0.0,-0.0834,2.66,-29.1,1.0,166.0,-166.0,-0.23,49.68,-0.00245,CONFIRMED
0.998,0.0,83.7,0.0,0.0,0.0,-0.119,2.87,-7.7,2.0,105.0,-117.0,-0.3,18.77,-0.00192,CONFIRMED
0.0,0.0,39.0,1.0,1.0,0.0,-0.12,21.55,-21.3,1.0,175.0,-159.0,-1.89,268.67,-0.00247,FALSE POSITIVE
0.773,0.0,103.6,1.0,0.0,0.0,-0.0285,32.43,-19.0,1.0,155.0,-172.0,-4.83,1355.88,-0.000487,FALSE POSITIVE
1.0,0.0,64.5,0.0,0.0,0.0,-0.0423,3.12,-14.5,1.0,174.0,-239.0,-0.34,960.79,-0.00111,CONFIRMED
1.0,0.0,51.5,0.0,0.0,0.0,-0.058,3.32,-19.5,2.0,174.0,-239.0,-0.36,260.58,-0.00163,CONFIRMED
0.334,0.0,11.2,0.0,0.0,1.0,-0.315,1.88,-51.9,1.0,161.0,-168.0,-0.14,60.35,-0.0076,FALSE POSITIVE
