st_mass,st_logg,pl_radjerr2,pl_radjerr1,pl_radeerr1,pl_radeerr2,st_teff,pl_orbpererr1,pl_orbpererr2,pl_radj,pl_rade,st_rad,sy_dist,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_orbper,sy_vmagerr1,sy_vmagerr2,sy_vmag,sy_kmagerr2,sy_kmagerr1,sy_kmag,sy_pnum,sy_snum,pl_controv_flag,default_flag,disposition
0.08,,-0.00392542,0.00392542,0.044,-0.044,2550.0,1.9e-05,-1.9e-05,0.09929521,1.113,0.117,,15.6451,0.001448,-0.001448,1.510848,0.2,-0.2,17.02,-0.023,0.023,10.296,7,1,0,0,CONFIRMED
,4.5,-0.00892142,0.01784284,0.2,-0.1,5499.0,8.9e-05,-8.9e-05,0.22303545,2.5,1.0,496.289,13.8183,0.000278,-0.000278,4.169783,0.114,-0.114,14.21,-0.021,0.021,12.002,2,1,0,1,CONFIRMED
0.803,,-0.00517442,0.00758321,0.085,-0.058,5120.0,9.1e-06,-9.1e-06,0.15077196,1.69,0.7595,152.509,11.8999,0.000602,-0.000602,0.3693038,0.092,-0.092,12.129,-0.026,0.026,10.051,1,1,0,1,CONFIRMED
,,-0.11,0.16,1.8,-1.2,,0.001456,-0.001427,1.64,18.4,0.97,323.937,13.3212,0.000277,-0.000277,23.510811,0.149,-0.149,13.713,-0.026,0.026,11.173,0,1,0,1,CANDIDATE
1.365,4.609,-0.00595059,0.00652156,0.0731,-0.0667,5197.0,0.0002,-0.0003,0.18935709,2.1225,0.96,538.349,14.274,0.000607,-0.000607,7.3274,0.137,-0.137,14.408,-0.024,0.024,12.17,0,1,0,1,FALSE POSITIVE
0.595401,4.64359,,,,,3856.0,,,,,0.609039,161.555,14.0916,0.000306,-0.000306,30.96028326,0.034,-0.034,14.781,-0.022,0.022,11.055,1,1,0,0,CONFIRMED
0.79,4.43623,,,,,4843.0,,,,,0.890703,488.152,14.3792,0.00023,-0.00023,18.711,0.069,-0.069,14.654,-0.022,0.022,12.26,1,1,0,0,CONFIRMED
,,-0.039,0.013,0.15,-0.44,,0.00075,-0.00073,0.122,1.37,0.554,253.026,13.7368,0.000323,-0.000323,7.79983,0.183,-0.183,13.948,-0.026,0.026,11.438,1,1,0,1,CANDIDATE
0.988,4.45714,-0.017,0.02,0.22,-0.19,5589.98,0.00138,-0.00137,0.121,1.36,0.972391,342.142,12.6168,0.000234,-0.000234,4.18787,0.069,-0.069,12.894,-0.024,0.024,11.056,0,1,0,1,CANDIDATE
0.705681,4.69,,,,,4681.0,9.3e-06,-9.3e-06,,,0.667422,107.518,11.9053,0.000403,-0.000403,7.3744828,0.114,-0.114,12.358,-0.019,0.019,9.625,2,1,0,0,CONFIRMED
0.934356,4.61,-0.00849589,0.0142381,0.15959489,-0.09523043,5569.0,0.001445,-0.001411,0.14863777,1.66608079,0.868889,249.742,12.2809,0.000235,-0.000235,14.316941,0.08,-0.08,12.5,-0.019,0.019,10.661,2,1,0,1,CONFIRMED
